last_interval,Exchange,Symbol,Best_Bid_Price,FB0,Best_Offer_Price,FA0,FB2,FA2,p_time,Next_Best_Bid,Next_Best_Offer,outcome,date
2020-01-03 11:17:00,N,AAPL,298.52,4.0,298.55,3.0,2.0,0.0,2020-01-03 11:17:00.869643,298.5,298.52,0,2020-01-03
2020-01-03 11:17:05,Z,AAPL,298.5,11.0,298.52,2.0,0.0,1.0,2020-01-03 11:17:05.001792,298.5,298.54,0,2020-01-03
2020-01-03 11:17:10,N,AAPL,298.5,4.0,298.54,3.0,-1.0,0.0,2020-01-03 11:17:10.339474,298.53,298.55,0,2020-01-03
2020-01-03 11:17:15,Z,AAPL,298.53,2.0,298.55,3.0,0.0,0.0,2020-01-03 11:17:15.050415,298.52,298.54,0,2020-01-03
2020-01-03 11:17:20,Z,AAPL,298.52,2.0,298.54,1.0,0.0,0.0,2020-01-03 11:17:20.230738,298.52,298.55,0,2020-01-03
2020-01-03 11:17:25,Q,AAPL,298.52,1.0,298.55,3.0,-1.0,1.0,2020-01-03 11:17:25.214246,298.52,298.54,0,2020-01-03
2020-01-03 11:17:30,Q,AAPL,298.52,3.0,298.54,3.0,2.0,0.0,2020-01-03 11:17:30.964206,298.52,298.55,0,2020-01-03
2020-01-03 11:17:35,Q,AAPL,298.52,4.0,298.55,18.0,-1.0,0.0,2020-01-03 11:17:35.235932,298.52,298.54,0,2020-01-03
2020-01-03 11:17:40,Z,AAPL,298.52,5.0,298.54,2.0,0.0,-15.0,2020-01-03 11:17:41.250356,298.47,298.49,-1,2020-01-03
2020-01-03 11:17:45,P,AAPL,298.47,1.0,298.49,1.0,0.0,-5.0,2020-01-03 11:17:45.545811,298.46,298.5,0,2020-01-03
2020-01-03 11:17:50,Q,AAPL,298.46,3.0,298.5,2.0,0.0,-1.0,2020-01-03 11:17:50.096694,298.45,298.47,0,2020-01-03
2020-01-03 11:17:55,Z,AAPL,298.45,2.0,298.47,1.0,0.0,0.0,2020-01-03 11:17:55.075483,298.42,298.46,0,2020-01-03
2020-01-03 11:18:00,Z,AAPL,298.42,1.0,298.46,3.0,-1.0,0.0,2020-01-03 11:18:00.019882,298.42,298.44,0,2020-01-03
2020-01-03 11:18:05,Q,AAPL,298.42,1.0,298.44,2.0,0.0,0.0,2020-01-03 11:18:05.186388,298.48,298.51,1,2020-01-03
2020-01-03 11:18:10,N,AAPL,298.48,1.0,298.51,2.0,0.0,0.0,2020-01-03 11:18:10.201793,298.45,298.48,0,2020-01-03
2020-01-03 11:18:15,P,AAPL,298.45,1.0,298.48,3.0,0.0,0.0,2020-01-03 11:18:15.020155,298.45,298.48,0,2020-01-03
2020-01-03 11:18:20,Y,AAPL,298.45,3.0,298.48,2.0,2.0,0.0,2020-01-03 11:18:20.075813,298.44,298.47,0,2020-01-03
2020-01-03 11:18:25,N,AAPL,298.44,2.0,298.47,1.0,0.0,0.0,2020-01-03 11:18:25.237278,298.44,298.45,0,2020-01-03
2020-01-03 11:18:30,N,AAPL,298.44,2.0,298.45,1.0,0.0,-1.0,2020-01-03 11:18:30.116034,298.45,298.48,0,2020-01-03
2020-01-03 11:18:35,Q,AAPL,298.45,1.0,298.48,2.0,0.0,1.0,2020-01-03 11:18:35.181939,298.39,298.42,-1,2020-01-03
2020-01-03 11:18:40,Z,AAPL,298.39,1.0,298.42,1.0,0.0,-2.0,2020-01-03 11:18:40.027258,298.42,298.44,0,2020-01-03
2020-01-03 11:18:45,Z,AAPL,298.42,2.0,298.44,2.0,0.0,1.0,2020-01-03 11:18:45.020682,298.42,298.45,0,2020-01-03
2020-01-03 11:18:50,P,AAPL,298.42,2.0,298.45,1.0,0.0,-1.0,2020-01-03 11:18:50.113527,298.41,298.45,0,2020-01-03
2020-01-03 11:18:55,Z,AAPL,298.41,3.0,298.45,1.0,1.0,0.0,2020-01-03 11:18:55.104452,298.35,298.37,-1,2020-01-03
2020-01-03 11:19:00,Z,AAPL,298.35,3.0,298.37,1.0,0.0,0.0,2020-01-03 11:19:00.245878,298.33,298.36,0,2020-01-03
2020-01-03 11:19:05,N,AAPL,298.33,4.0,298.36,3.0,1.0,0.0,2020-01-03 11:19:05.011992,298.38,298.42,1,2020-01-03
2020-01-03 11:19:10,J,AAPL,298.38,2.0,298.42,2.0,0.0,1.0,2020-01-03 11:19:10.035774,298.36,298.39,0,2020-01-03
2020-01-03 11:19:15,Z,AAPL,298.36,3.0,298.39,2.0,-1.0,1.0,2020-01-03 11:19:15.124201,298.34,298.36,0,2020-01-03
2020-01-03 11:19:20,N,AAPL,298.34,1.0,298.36,1.0,-4.0,0.0,2020-01-03 11:19:20.304515,298.36,298.39,0,2020-01-03
2020-01-03 11:19:25,Z,AAPL,298.36,2.0,298.39,1.0,0.0,0.0,2020-01-03 11:19:27.200884,298.35,298.37,0,2020-01-03
2020-01-03 11:19:30,N,AAPL,298.35,2.0,298.37,1.0,0.0,0.0,2020-01-03 11:19:30.405476,298.37,298.38,0,2020-01-03
2020-01-03 11:19:35,Z,AAPL,298.37,1.0,298.38,1.0,0.0,0.0,2020-01-03 11:19:35.139878,298.36,298.39,0,2020-01-03
